SUMMARY;DTSTART-DATE;DTEND-DATE
Weihnachtsferien;24.12.2014;06.01.2015
Winterferien;16.02.2015;20.02.2015
Osterferien;30.03.2015;11.04.2015
Pfingstferien;26.05.2015;05.06.2015
Sommerferien;01.08.2015;14.09.2015
Herbstferien;02.11.2015;07.11.2015
Weihnachtsferien;24.12.2015;05.01.2016
Winterferien;08.02.2016;12.02.2016
Osterferien;21.03.2016;01.04.2016
Pfingstferien;17.05.2016;28.05.2016
Sommerferien;30.07.2016;12.09.2016
Herbstferien;31.10.2016;04.11.2016
Weihnachtsferien;24.12.2016;05.01.2017
Winterferien;27.02.2017;04.03.2017
Osterferien;10.04.2017;23.04.2017
Pfingstferien;06.06.2017;17.06.2017
Sommerferien;29.07.2017;12.09.2017
Herbstferien;30.10.2017;04.11.2017
Weihnachtsferien;23.12.2017;06.01.2018
Winterferien;12.02.2018;17.02.2018
Osterferien;26.03.2018;08.04.2018
Pfingstferien;22.05.2018;03.06.2018
Sommerferien;30.07.2018;11.09.2018
Herbstferien;29.10.2018;03.11.2018
Weihnachtsferien;22.12.2018;06.01.2019
Winterferien;04.03.2019;08.03.2019
Osterferien;15.04.2019;27.04.2019
Pfingstferien;11.06.2019;21.06.2019
Sommerferien;29.07.2019;09.09.2019
Herbstferien;28.10.2019;31.10.2019
Weihnachtsferien;23.12.2019;04.01.2020
